iter	Passed	Remaining
0	149	179042
1	172	103118
2	193	77284
3	213	63983
4	236	56416
5	258	51484
6	280	47822
7	302	45086
8	325	43051
9	349	41569
10	372	40211
11	394	39057
12	421	38493
13	446	37821
14	470	37204
15	493	36549
16	515	35883
17	539	35430
18	562	34974
19	586	34593
20	611	34304
21	634	33971
22	660	33788
23	685	33603
24	709	33348
25	733	33113
26	756	32860
27	778	32583
28	801	32353
29	823	32115
30	846	31912
31	868	31707
32	890	31496
33	913	31321
34	936	31157
35	959	31020
36	982	30883
37	1008	30826
38	1033	30767
39	1058	30682
40	1082	30601
41	1107	30522
42	1128	30353
43	1156	30380
44	1189	30526
45	1220	30613
46	1247	30595
47	1274	30586
48	1303	30619
49	1334	30684
50	1364	30752
51	1393	30762
52	1423	30808
53	1453	30853
54	1478	30785
55	1509	30845
56	1540	30891
57	1568	30885
58	1595	30854
59	1620	30796
60	1646	30738
61	1670	30658
62	1695	30594
63	1720	30536
64	1748	30535
65	1775	30502
66	1800	30444
67	1827	30416
68	1852	30359
69	1878	30319
70	1902	30255
71	1927	30201
72	1951	30135
73	1976	30068
74	2000	30000
75	2025	29956
76	2046	29846
77	2072	29808
78	2096	29755
79	2121	29700
80	2145	29641
81	2168	29570
82	2192	29512
83	2215	29439
84	2240	29386
85	2260	29279
86	2284	29225
87	2308	29170
88	2334	29142
89	2357	29081
90	2386	29083
91	2409	29020
92	2436	28996
93	2457	28916
94	2481	28859
95	2504	28805
96	2529	28759
97	2554	28726
98	2578	28671
99	2603	28635
100	2624	28558
101	2649	28518
102	2669	28434
103	2693	28381
104	2716	28329
105	2739	28278
106	2761	28210
107	2784	28156
108	2808	28108
109	2831	28059
110	2851	27974
111	2875	27928
112	2897	27867
113	2919	27812
114	2941	27753
115	2964	27704
116	2986	27648
117	3009	27595
118	3032	27544
119	3053	27479
120	3075	27427
121	3099	27388
122	3121	27336
123	3144	27287
124	3166	27233
125	3188	27181
126	3212	27140
127	3233	27082
128	3256	27035
129	3279	26995
130	3301	26938
131	3324	26896
132	3346	26848
133	3368	26800
134	3391	26758
135	3413	26706
136	3434	26645
137	3459	26624
138	3487	26619
139	3509	26572
140	3539	26586
141	3563	26552
142	3586	26510
143	3608	26458
144	3629	26410
145	3651	26362
146	3674	26323
147	3697	26285
148	3724	26270
149	3747	26230
150	3771	26201
151	3796	26174
152	3820	26143
153	3845	26117
154	3868	26079
155	3892	26051
156	3916	26018
157	3939	25982
158	3963	25951
159	3983	25894
160	4007	25865
161	4030	25825
162	4057	25813
163	4081	25784
164	4108	25769
165	4132	25738
166	4155	25705
167	4179	25674
168	4204	25647
169	4227	25613
170	4252	25587
171	4276	25558
172	4300	25532
173	4324	25502
174	4346	25456
175	4377	25467
176	4402	25444
177	4424	25400
178	4446	25362
179	4470	25331
180	4493	25295
181	4515	25257
182	4538	25221
183	4557	25163
184	4581	25137
185	4603	25096
186	4625	25056
187	4648	25024
188	4675	25012
189	4703	25001
190	4731	24997
191	4764	25013
192	4792	25006
193	4820	24998
194	4851	25004
195	4881	25004
196	4910	24999
197	4935	24978
198	4962	24964
199	4991	24955
200	5019	24949
201	5047	24938
202	5074	24923
203	5100	24902
204	5127	24887
205	5155	24878
206	5183	24864
207	5208	24840
208	5233	24814
209	5259	24793
210	5285	24773
211	5314	24768
212	5365	24862
213	5398	24873
214	5426	24863
215	5454	24849
216	5486	24851
217	5518	24858
218	5550	24863
219	5578	24848
220	5624	24916
221	5657	24924
222	5685	24907
223	5713	24893
224	5744	24894
225	5774	24885
226	5804	24878
227	5835	24878
228	5865	24872
229	5893	24854
230	5931	24880
231	5962	24879
232	5989	24856
233	6016	24838
234	6046	24830
235	6073	24807
236	6098	24778
237	6124	24753
238	6148	24723
239	6174	24698
240	6199	24670
241	6230	24666
242	6254	24633
243	6279	24604
244	6304	24576
245	6330	24548
246	6367	24568
247	6390	24529
248	6417	24508
249	6437	24462
250	6463	24439
251	6489	24414
252	6518	24401
253	6545	24379
254	6578	24380
255	6610	24374
256	6644	24381
257	6672	24363
258	6700	24344
259	6734	24348
260	6770	24356
261	6801	24351
262	6848	24400
263	6881	24396
264	6911	24385
265	6941	24373
266	6968	24348
267	6994	24323
268	7019	24293
269	7043	24259
270	7065	24222
271	7089	24188
272	7113	24156
273	7138	24125
274	7162	24091
275	7185	24055
276	7208	24018
277	7230	23980
278	7253	23944
279	7277	23910
280	7301	23879
281	7323	23839
282	7343	23796
283	7367	23762
284	7389	23723
285	7410	23681
286	7434	23651
287	7458	23617
288	7483	23591
289	7508	23559
290	7531	23527
291	7558	23503
292	7581	23470
293	7607	23442
294	7629	23405
295	7651	23368
296	7673	23330
297	7697	23298
298	7720	23264
299	7744	23232
300	7766	23194
301	7788	23158
302	7811	23124
303	7835	23094
304	7855	23050
305	7879	23019
306	7905	22994
307	7930	22968
308	7958	22948
309	7985	22925
310	8011	22902
311	8040	22883
312	8068	22865
313	8096	22846
314	8124	22824
315	8148	22794
316	8173	22767
317	8196	22734
318	8218	22698
319	8241	22665
320	8266	22635
321	8292	22611
322	8318	22586
323	8344	22560
324	8370	22536
325	8397	22512
326	8432	22511
327	8460	22493
328	8489	22474
329	8513	22445
330	8544	22431
331	8571	22409
332	8597	22384
333	8625	22364
334	8649	22334
335	8674	22306
336	8699	22278
337	8725	22251
338	8751	22227
339	8773	22191
340	8802	22173
341	8826	22143
342	8864	22149
343	8888	22118
344	8915	22095
345	8944	22075
346	8979	22073
347	9005	22049
348	9031	22022
349	9052	21985
350	9079	21960
351	9104	21934
352	9129	21905
353	9155	21880
354	9180	21853
355	9208	21830
356	9232	21800
357	9261	21782
358	9290	21764
359	9321	21749
360	9350	21731
361	9378	21710
362	9405	21687
363	9433	21666
364	9458	21638
365	9485	21613
366	9511	21587
367	9540	21569
368	9567	21545
369	9595	21524
370	9627	21511
371	9653	21486
372	9679	21460
373	9708	21442
374	9734	21415
375	9759	21388
376	9785	21362
377	9812	21338
378	9836	21308
379	9860	21278
380	9885	21250
381	9908	21217
382	9936	21195
383	9962	21170
384	9986	21141
385	10012	21114
386	10039	21090
387	10066	21066
388	10093	21042
389	10120	21019
390	10147	20995
391	10174	20971
392	10202	20950
393	10229	20925
394	10256	20902
395	10282	20876
396	10308	20850
397	10334	20824
398	10358	20794
399	10382	20764
400	10407	20737
401	10433	20711
402	10460	20687
403	10491	20671
404	10520	20651
405	10548	20629
406	10574	20603
407	10602	20580
408	10627	20553
409	10652	20525
410	10677	20497
411	10703	20471
412	10728	20443
413	10752	20414
414	10775	20383
415	10805	20364
416	10832	20341
417	10857	20312
418	10882	20285
419	10905	20252
420	10933	20230
421	10960	20206
422	10985	20179
423	11014	20158
424	11043	20137
425	11068	20110
426	11092	20081
427	11116	20052
428	11143	20028
429	11169	20000
430	11194	19974
431	11222	19951
432	11247	19923
433	11277	19904
434	11306	19883
435	11341	19873
436	11380	19870
437	11405	19841
438	11425	19805
439	11450	19777
440	11475	19750
441	11499	19721
442	11522	19689
443	11546	19660
444	11576	19641
445	11612	19632
446	11644	19615
447	11674	19595
448	11701	19572
449	11732	19554
450	11762	19534
451	11861	19628
452	11900	19624
453	11932	19606
454	11959	19581
455	11984	19554
456	12014	19533
457	12045	19515
458	12076	19495
459	12106	19475
460	12136	19454
461	12164	19431
462	12191	19406
463	12219	19382
464	12245	19355
465	12278	19339
466	12305	19313
467	12332	19290
468	12361	19267
469	12388	19241
470	12416	19217
471	12454	19209
472	12509	19227
