feature,importance
temperature_cumsum,0.04482333
age_months_squared,0.030464908
age_months,0.030388284
total_parking_minutes_cumsum,0.024641505
age_months_sqrt,0.012802205
sea_salt_aerosol_5_20_mixing_ratio_roll24_mean,0.010139739
sea_salt_aerosol_003_05_mixing_ratio_roll6_kurt,0.006561491
age_months_cubed,0.0059781303
sea_salt_aerosol_5_20_mixing_ratio_roll12_mean,0.0059776823
parking_age_ratio,0.0056199892
sea_salt_aerosol_05_5_mixing_ratio_ewm12,0.004735086
sea_salt_aerosol_5_20_mixing_ratio_cumsum,0.004661469
metar_wind_speed_kn_cumsum,0.0045026867
sea_salt_aerosol_003_05_mixing_ratio_ewm12,0.0044509005
isoprene_roll24_min,0.004148964
hno3_cummean,0.004022187
metar_relative_humidity_cumsum,0.003825442
sea_salt_aerosol_05_5_mixing_ratio_cumsum,0.0038037596
carbon_monoxide_mass_mixing_ratio_cummean,0.0035782233
c3h8_cummean,0.0035184128
carbon_monoxide_mass_mixing_ratio_roll24_mean,0.0034125946
metar_temperature_c_roll12_mean,0.0033739985
sea_salt_aerosol_5_20_mixing_ratio_cumstd,0.0032012532
hydrophilic_black_carbon_aerosol_mixing_ratio_cummin,0.0031770926
dust_aerosol_09_20_mixing_ratio_cumstd,0.0031571884
temperature_roll12_mean,0.0030137817
ozone_mass_mixing_ratio_cumstd,0.0029903287
ethane_cummean,0.0029840406
hno3_cummax,0.002974849
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_min,0.0028995746
sulphur_dioxide_mass_mixing_ratio_roll24_min,0.0028610874
hydrophobic_black_carbon_aerosol_mixing_ratio_cumstd,0.0027923246
sea_salt_aerosol_003_05_mixing_ratio_cummean,0.0027692337
sea_salt_aerosol_05_5_mixing_ratio_roll24_mean,0.002753882
metar_visibility_mi_lag6,0.0027202882
hno3_ewm12,0.0027177301
sea_salt_aerosol_5_20_mixing_ratio_cummean,0.002714285
sulphur_dioxide_mass_mixing_ratio_roll6_min,0.0026268302
hno3_roll24_max,0.0026260852
c3h8_roll24_mean,0.0025706277
metar_hour_precipitation_cummax,0.0025262502
hno3_cumstd,0.0025101672
nitrogen_dioxide_mass_mixing_ratio_cummean,0.002478632
metar_hour_precipitation_cummin,0.0024496606
total_parking_minutes_cummax,0.0024225053
metar_hour_precipitation_ewm12,0.0024080416
hydrophobic_organic_matter_aerosol_mixing_ratio_cummean,0.0024051832
sulphur_dioxide_mass_mixing_ratio_cummean,0.0023783976
sulphate_aerosol_mixing_ratio_cummean,0.0023461555
formaldehyde_roll24_min,0.0023443564
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_mean,0.0023441375
metar_hour_precipitation_roll24_max,0.0023373296
hydrophobic_black_carbon_aerosol_mixing_ratio_cummean,0.0023285164
sulphate_aerosol_mixing_ratio_cummin,0.0023113328
hydrophobic_organic_matter_aerosol_mixing_ratio_cummax,0.0022983158
ethane_roll24_max,0.0022609278
sea_salt_aerosol_05_5_mixing_ratio_roll24_min,0.0022382855
nitrogen_dioxide_mass_mixing_ratio_roll24_min,0.0022085554
carbon_monoxide_mass_mixing_ratio_roll24_std,0.002195042
total_parking_minutes_roll24_std,0.0021844932
metar_relative_humidity_roll24_min,0.0021801246
dust_aerosol_09_20_mixing_ratio_cummin,0.002168069
metar_relative_humidity_cumstd,0.0021673746
metar_dew_point_c_cumsum,0.0021596916
hydrophilic_black_carbon_aerosol_mixing_ratio_cummax,0.0021594316
metar_dew_point_c_cummean,0.0021161248
metar_dew_point_c_cummin,0.0021138105
metar_temperature_c_cumstd,0.0021104778
nitrogen_monoxide_mass_mixing_ratio_cummax,0.0020789008
metar_wind_speed_kn_cummax,0.0020749364
temperature_cummax,0.0020745099
metar_temperature_c_cummin,0.00207415
dust_aerosol_055_09_mixing_ratio_cummin,0.002061016
sea_salt_aerosol_5_20_mixing_ratio_cummax,0.0020370297
h2o2_cummax,0.0020310993
ozone_mass_mixing_ratio_roll24_mean,0.0020258117
sea_salt_aerosol_05_5_mixing_ratio_cummax,0.0020195732
formaldehyde_cummean,0.002013491
total_parking_minutes_roll12_max,0.0020123904
metar_relative_humidity_cummin,0.0020019528
sea_salt_aerosol_5_20_mixing_ratio_cummin,0.001996016
isoprene_roll24_mean,0.0019947593
ozone_mass_mixing_ratio_cummean,0.001994562
ethane_roll24_min,0.0019940545
nitrogen_dioxide_mass_mixing_ratio_roll24_max,0.0019930655
nitrogen_monoxide_mass_mixing_ratio_cummin,0.00198977
hydrophobic_black_carbon_aerosol_mixing_ratio_cummin,0.001982665
ozone_mass_mixing_ratio_cummin,0.0019688352
temperature_cummean,0.0019546782
carbon_monoxide_mass_mixing_ratio_roll24_min,0.0019517894
dust_aerosol_003_055_mixing_ratio_lag2,0.0019426838
sulphate_aerosol_mixing_ratio_roll24_min,0.0019420917
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_min,0.0019346909
metar_temperature_c_roll24_max,0.0019313357
sea_salt_aerosol_003_05_mixing_ratio_roll24_min,0.0019240424
dust_aerosol_055_09_mixing_ratio_roll24_std,0.0019204776
ethane_roll12_min,0.0019200589
c3h8_cummin,0.001914229
hydrophobic_organic_matter_aerosol_mixing_ratio_cumsum,0.0019095101
metar_wind_speed_kn_cummin,0.0019079931
total_parking_minutes_cummin,0.001899434
h2o2_cummean,0.0018955092
