feature,importance
temperature_cumsum,0.0402964
age_months_squared,0.0343181
total_parking_minutes_cumsum,0.03170178
age_months,0.025495537
sea_salt_aerosol_5_20_mixing_ratio_roll24_mean,0.009545383
metar_wind_speed_kn_cumsum,0.007772537
age_months_cubed,0.005695789
sea_salt_aerosol_05_5_mixing_ratio_cummean,0.0052795955
parking_age_ratio,0.0049588713
sea_salt_aerosol_5_20_mixing_ratio_cumsum,0.0047704577
carbon_monoxide_mass_mixing_ratio_cummean,0.004585695
metar_temperature_c_roll24_min,0.0044822674
sea_salt_aerosol_5_20_mixing_ratio_cummean,0.0043843733
metar_dew_point_c_roll12_mean,0.0043011513
hno3_cummean,0.0039914562
hydrophobic_organic_matter_aerosol_mixing_ratio_lag3,0.00387068
metar_relative_humidity_cumstd,0.0037402739
metar_visibility_mi_lag12,0.0036403616
formaldehyde_cummean,0.0035738552
metar_dew_point_c_cummin,0.0034659617
sea_salt_aerosol_003_05_mixing_ratio_cummean,0.0034266436
hydrophilic_black_carbon_aerosol_mixing_ratio_cummin,0.003417414
sea_salt_aerosol_05_5_mixing_ratio_ewm6,0.003358396
isoprene_roll24_min,0.0030846738
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_min,0.0030046576
temperature_cummean,0.002913149
sea_salt_aerosol_05_5_mixing_ratio_cumsum,0.0028844445
sea_salt_aerosol_003_05_mixing_ratio_roll6_kurt,0.0028263964
sea_salt_aerosol_003_05_mixing_ratio_roll12_mean,0.0027860098
metar_relative_humidity_roll24_std,0.0027808668
metar_relative_humidity_cumsum,0.0027542885
c3h8_cummean,0.0027168018
ethane_roll24_std,0.0027075657
metar_hour_precipitation_cumsum,0.0026786278
isoprene_roll12_mean,0.0026617611
isoprene_roll12_std,0.0025755267
dust_aerosol_09_20_mixing_ratio_cumstd,0.002542283
ozone_mass_mixing_ratio_roll12_mean,0.0025212609
sea_salt_aerosol_5_20_mixing_ratio_cumstd,0.0025008684
dust_aerosol_003_055_mixing_ratio_roll24_mean,0.0024744102
metar_wind_speed_kn_cummean,0.0023822098
carbon_monoxide_mass_mixing_ratio_roll12_mean,0.002378036
isoprene_cummean,0.0023722393
sulphur_dioxide_mass_mixing_ratio_cummean,0.0023694485
hydrophilic_black_carbon_aerosol_mixing_ratio_cummax,0.0023545213
sulphate_aerosol_mixing_ratio_cummean,0.00234619
total_parking_minutes_cummax,0.0023330348
sulphur_dioxide_mass_mixing_ratio_roll24_min,0.0023280997
sea_salt_aerosol_5_20_mixing_ratio_roll12_mean,0.0023230705
hydrophilic_organic_matter_aerosol_mixing_ratio_cummax,0.0023219464
sulphur_dioxide_mass_mixing_ratio_roll24_mean,0.002320904
sea_salt_aerosol_003_05_mixing_ratio_cummax,0.0023201753
metar_hour_precipitation_ewm12,0.0022644214
hydrophobic_black_carbon_aerosol_mixing_ratio_cumstd,0.0022378329
dust_aerosol_055_09_mixing_ratio_roll24_mean,0.0022238838
dust_aerosol_003_055_mixing_ratio_cummean,0.0022053858
metar_temperature_c_roll12_mean,0.0022004498
metar_wind_speed_kn_cummax,0.002199518
ozone_mass_mixing_ratio_cummin,0.0021915545
sulphur_dioxide_mass_mixing_ratio_roll12_std,0.0021889438
metar_relative_humidity_cummin,0.002187641
metar_hour_precipitation_cummean,0.0021759046
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_min,0.0021651115
