feature,importance,is_new
total_parking_minutes_cumsum,0.16640408,False
metar_relative_humidity_weighted_exp,0.02455498,True
metar_visibility_mi_cumsum,0.023346368,False
corrosion_index_weighted,0.017864281,True
extreme_temp_roll12,0.013754489,True
salt_fine_ratio_roll12,0.011981636,True
sea_salt_aerosol_003_05_mixing_ratio_weighted_exp,0.011722831,True
extreme_temp_cummean,0.0112538785,True
metar_temperature_c_weighted_exp,0.011186815,True
h2o2_cumsum,0.010983604,False
metar_wind_speed_kn_cumsum,0.010762397,False
metar_relative_humidity_cumsum,0.010580431,False
metar_relative_humidity_cummean,0.01015301,False
combined_risk_score_cummean,0.009876043,True
high_salt_zone_cummean,0.009769469,True
urban_pollution_cumsum,0.009437006,True
salt_acid_ratio_cummean,0.00894957,True
h2o2_weighted_exp,0.008702101,True
sea_salt_aerosol_5_20_mixing_ratio_cummean,0.008546145,False
specific_humidity_cummean,0.008435836,False
sea_salt_aerosol_003_05_mixing_ratio_cumsum,0.008088662,False
hydrophilic_ratio_cumsum,0.007650667,True
hydrophilic_organic_matter_aerosol_mixing_ratio_cummean,0.0076370058,False
ozone_mass_mixing_ratio_cumsum,0.0075467527,False
acid_salt_synergy_cumsum,0.0071022273,True
acid_salt_synergy_cummax,0.0070809745,True
sea_salt_aerosol_003_05_mixing_ratio_cummean,0.0069957827,False
specific_humidity_cumsum,0.006941622,False
corrosive_conditions_cummean,0.006884741,True
industrial_exposure_roll12,0.006863354,True
organic_nitrates_cummax,0.0068427217,False
danger_zone_cumsum,0.0066916356,True
hydrophilic_black_carbon_aerosol_mixing_ratio_cummean,0.0066620773,False
ozone_pollution_cummean,0.00663749,True
c3h8_cummax,0.0066040196,False
acid_rain_risk_cumsum,0.0066008,True
c3h8_cummean,0.006385251,False
dust_salt_mix_cummax,0.0062944116,True
oh_cumsum,0.0061199116,False
marine_corrosion_index_cummax,0.0059338165,True
hydrophilic_ratio_cummean,0.005793019,True
ozone_mass_mixing_ratio_cummax,0.005688131,False
ozone_mass_mixing_ratio_cummean,0.0056029945,False
salt_fine_ratio_cummean,0.0055754343,True
metar_wind_speed_kn_cummax,0.0055605774,False
formaldehyde_cummean,0.0054271854,False
hydrophilic_organic_matter_aerosol_mixing_ratio_cummax,0.005424599,False
oh_cummax,0.0053648325,False
hno3_cumsum,0.0053251754,False
organic_nitrates_cummean,0.0052830526,False
